PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,0,3,"Braund, Mr. Owen Harris",Male,22.0,0,0,7634.0,7.25,B18,S
2,0,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Female,38.0,0,0,7634.0,53.2187,C85,C
3,0,3,"Heikkinen, Miss. Laina",Female,26.0,0,0,7634.0,7.925,B18,S
4,0,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Female,35.0,0,0,113803.0,53.1,C123,S
5,0,3,"Allen, Mr. William Henry",Male,35.0,0,0,373450.0,8.05,B18,S
6,0,3,"Moran, Mr. James",Male,20.8,0,0,330877.0,8.4583,B18,Q
7,0,1,"Mccarthy, Mr. Timothy J",Male,54.0,0,0,17463.0,51.8667,E46,S
8,0,3,"Palsson, Master. Gosta Leonard",Male,2.0,0,0,349909.0,21.075,B18,S
9,0,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Female,27.0,0,0,347742.0,11.1333,B18,S
10,0,2,"Nasser, Mrs. Nicholas (Adele Achem)",Female,14.0,0,0,237736.0,30.0708,B18,C
11,0,3,"Sandstrom, Miss. Marguerite Rut",Female,4.0,0,0,7634.0,16.7,G6,S
12,0,1,"Bonnell, Miss. Elizabeth",Female,58.0,0,0,113783.0,26.55,C103,S
13,0,3,"Saundercock, Mr. William Henry",Male,20.0,0,0,7634.0,8.05,B18,S
14,0,3,"Andersson, Mr. Anders Johan",Male,39.0,0,0,347082.0,31.275,B18,S
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",Female,14.0,0,0,350406.0,7.8542,B18,S
16,0,2,"Hewlett, Mrs. (Mary D Kingcome)",Female,55.0,0,0,248706.0,16.0,B18,S
17,0,3,"Rice, Master. Eugene",Male,2.0,0,0,382652.0,29.125,B18,Q
18,0,2,"Williams, Mr. Charles Eugene",Male,30.4,0,0,244373.0,13.0,B18,S
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Female,31.0,0,0,345763.0,18.0,B18,S
20,0,3,"Masselmani, Mrs. Fatima",Female,22.8,0,0,2649.0,7.225,B18,C
21,0,2,"Fynney, Mr. Joseph J",Male,35.0,0,0,239865.0,21.0,B18,S
22,0,2,"Beesley, Mr. Lawrence",Male,34.0,0,0,248698.0,13.0,D35,S
23,0,3,"Mcgowan, Miss. Anna Annie""""",Female,15.0,0,0,330923.0,8.0292,B18,Q
24,0,1,"Sloper, Mr. William Thompson",Male,28.0,0,0,113788.0,35.5,A6,S
25,0,3,"Palsson, Miss. Torborg Danira",Female,8.0,0,0,349909.0,21.075,B18,S
26,0,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Female,21.0,0,0,347077.0,11.5,B18,S
27,0,3,"Emir, Mr. Farred Chehab",Male,22.8,0,0,2631.0,7.225,B18,C
28,0,1,"Fortune, Mr. Charles Alexander",Male,19.0,0,0,19950.0,53.2187,C23 C25 C27,S
29,0,3,"Crease, Mr. Ernest James",Male,19.0,0,0,7634.0,8.05,B18,S
30,0,1,"Barkworth, Mr. Algernon Henry Wilson",Male,69.5,0,0,27042.0,30.0,A23,S
